name,medical_insurance,infectivity,therapy,cure_rate,treatment_cycle,throng,cost,online_to_buy_medicine
旋前圆肌综合征,是,无传染性,手术治疗、药物治疗、封闭治...,40%,1-3个月,多在50岁左右，女性患者多于...,市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
囊痈,否,无传染性,药物治疗,98%,2-4周,所有人群,市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
儿童顿咳,否,无传染性,药物治疗,90%,Null,儿童,市三甲医院约（500——3000元）,健客大药房康德乐大药房阿康大药房
痿证,否,无传染性,药物治疗,90%,Null,所有人群,市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
喉疮,否,无传染性,药物治疗,90%,Null,所有人群,市三甲医院约（100——300元）,健客大药房康德乐大药房阿康大药房
脏躁,否,无传染性,中药治疗,30%,1--3个月,成年女性,市三甲医院约（800——3000元）,健客大药房康德乐大药房阿康大药房
产后目病,否,无传染性,眼珠运动法、眨眼法,90%,10-30天,产妇,市三甲医院约（200——1000元）,健客大药房康德乐大药房阿康大药房
赤游丹,否,有传染性,中医药物治疗、西医药物治疗,70%,10天,初生婴儿及学龄儿童,市三甲医院约（800——3000元）,健客大药房康德乐大药房阿康大药房
锁喉毒,否,无传染性,药物治疗,85%,3-6周,新生儿,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
淋病性关节炎,是,有传染性,青霉素,80%,1-2个月,淋病患者,市三甲医院约1000--5000,健客大药房康德乐大药房阿康大药房
肥大性骨关节病,是,无传染性,药物治疗、对症治疗,60%,3个月,中老年,市三甲医院约（1000——5000元）,健客大药房康德乐大药房阿康大药房
丹痧,否,无传染性,药物、中医治疗,75%,6-12周,任何年龄都可发病，以2-8岁儿...,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
嗜酸性粒细胞增多-肌痛综合征,否,无传染性,病因治疗、对症治疗,30%,3-6周,女性,市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
往来寒热,否,无传染性,药物治疗,99%,Null,所有人群,市三甲医院约（200——500元）,健客大药房康德乐大药房阿康大药房
视网膜色素上皮炎,否,无传染性,药物治疗,60%,3个月,青壮年人群,不同医院收费标准不一致，市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
有头疽,否,无传染性,药物治疗、中药治疗,75%,1-3个月,中老年患者，尤其是消渴患者,市三甲医院约3000--8000,健客大药房康德乐大药房阿康大药房
脱囊,否,无传染性,中医药物治疗,70%,4-6个周,好发于不注意个人卫生的老人,市三甲医院约（300——2000元）,健客大药房康德乐大药房阿康大药房
脊髓灰质炎后遗症,是,无传染性,药物治疗,50%,Null,所有人群,市三甲医院约（10000——20000元）,健客大药房康德乐大药房阿康大药房
流注,否,无传染性,中医药物治疗,70%,7-14天,成年人,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
心瘅,否,无传染性,药物治疗,60%,7-10天,中老年人,市三甲医院约（1000——5000元）,健客大药房康德乐大药房阿康大药房
赤痢,否,无传染性,药物治疗,80%,10-15天,所有人群,市三甲医院约（5000——8000元）,健客大药房康德乐大药房阿康大药房
飞扬喉,否,无传染性,药物治疗,100%,Null,所有人群,市三甲医院约（200——500元）,健客大药房康德乐大药房阿康大药房
跗骨与周围关节结核,否,有传染性,药物治疗、手术治疗,治愈率81.5%,治疗周期270天,15岁左右儿童和青壮年,市三甲医院约（10000-50000元）,健客大药房康德乐大药房阿康大药房
桡管综合征,否,无传染性,手术治疗、理疗,80%,1-3个月,以40～60岁较多见，男女比例...,市三甲医院约(10000---20000元),健客大药房康德乐大药房阿康大药房
肘关节强直与纤维性僵硬,否,无传染性,手术治疗、功能锻炼、康复治...,外科手术治愈率约为80%,1-3个月,肘部创伤人群,市三甲医院约（1000——8000元）,健客大药房康德乐大药房阿康大药房
办公室综合症,否,无传染性,药物治疗,100%,Null,上班族,市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
脑痨,否,有传染性,药物治疗,40-50%,2-3年,多见于儿童及青年,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
赤脉传睛,否,无传染性,中医药物治疗,50-70%,3-6个月,所有人群,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
气瘤,否,无传染性,中医药物治疗、西医药物治疗,80%,2-4月,成年人,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
凉燥,否,无传染性,中医药物治疗,100%,15天,所有人群,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
非结核性分枝杆菌关节炎,否,无传染性,药物治疗,70%,2-3年,免疫功能障碍者,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
骨与关节结核,否,有传染性,药物治疗,70-80%,2年,青壮年,不同医院收费标准不一致，市三甲医院约5000--10000,健客大药房康德乐大药房阿康大药房
经行失眠,否,无传染性,Null,Null,Null,无特殊人群,Null,健客大药房康德乐大药房阿康大药房
子嗽,否,无传染性,中医药物治疗,80%,2-4周,妊娠期妇女,市三甲医院约（3000-5000元）,健客大药房康德乐大药房阿康大药房
复发性髌骨脱位,否,无传染性,中医药物治疗、西医药物治疗,治愈率84%,治疗周期30天,所有人群,市三甲医院约（1000——5000元）,健客大药房康德乐大药房阿康大药房
鼠咬伤,否,有传染性,药物治疗、清创消毒,80%,1个月,所有人群,市三甲医院约（500——3000元）,健客大药房康德乐大药房阿康大药房
婴幼儿舌下囊肿,否,无传染性,药物治疗、手术治疗,90%，以手术治疗为主,1-3个月,新生儿,市三甲医院约（3000-8000元）,健客大药房康德乐大药房阿康大药房
离位皮炎,否,无传染性,西医药物治疗,65%,1-3个月,婴幼儿,市三甲医院约（5000-8000元）,健客大药房康德乐大药房阿康大药房
胎萎不长,否,无传染性,中药治疗、西药治疗,65%,1-2个月,孕妇,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
慢性创伤性滑囊炎,否,无传染性,药物治疗、穿刺治疗,70%,10天,所有人群（中老年多见）,市三甲医院约（200——1000元）,健客大药房康德乐大药房阿康大药房
中满,否,无传染性,药物治疗,85%,2-4周,所有人群,市三甲医院约（1000——2000元）,健客大药房康德乐大药房阿康大药房
精子增多症,否,无传染性,中医药物治疗、西医药物治疗,50%,1-3个月,成年男性多见,市三甲医院约（5000——20000元）,健客大药房康德乐大药房阿康大药房
热入血室,否,无传染性,药物治疗,80%,7-10天,经期受寒的妇女,市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
肩袖间隙分裂,否,无传染性,中医药物治疗、西医药物治疗,60%,3个月,20～40岁青壮年,市三甲医院约（10000——50000元）,健客大药房康德乐大药房阿康大药房
脉痹,否,无传染性,中医药物治疗、西医药物治疗,60%,1-3个月,中老年人,市三甲医院约（200——800元）,健客大药房康德乐大药房阿康大药房
重舌,否,无传染性,中医药物治疗,50--70%,7--14天,婴幼儿,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
麻疹样红斑型药疹,否,无传染性,病因治疗,50-70%,5-7天,所有人群,不同医院收费标准不一致，市三甲医院约（75——300）,健客大药房康德乐大药房阿康大药房
肝著,否,无传染性,药物、中医治疗,65%,4-6周,肝热病发病史者,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
功能性呕吐,否,无传染性,药物、心理治疗,60%,7--10天,成年早期、中期女性,不同医院收费标准不一致，市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
输卵管结扎术后并发症,否,无传染性,药物治疗,50%-70%,1-3个月,节育女性,根据医院不同，收费标准不一致，市级三甲医院约500——1000元,健客大药房康德乐大药房阿康大药房
虫积,否,无传染性,中医药物治疗,75%-85%,6-8周,不洁饮食习惯的儿童多见,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
气臌,否,无传染性,药物治疗,99%,Null,所有人,市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
口糜,否,无传染性,中医药物治疗、西医药物治疗,100%,7天,发生于小儿者，以1岁内婴儿...,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
五迟,否,无传染性,中医药物治疗,80%,3-5年,先天不足的小儿,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
子痰,否,无传染性,中医药物治疗、西医药物治疗,70%,1个月,好发于中青年，以20—40岁居,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
淋证,否,无传染性,药物治疗,80%,7--14天,所有人群,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
休息痢,否,无传染性,药物治疗,70%,1-3个月,所有人群,市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
肛廔,否,无传染性,手术治疗、药物治疗,90%,1个月,长期腹泻、便秘人群,市三甲医院约（500——5000元）,健客大药房康德乐大药房阿康大药房
内伤发热,否,无传染性,药物治疗,80%,2-4周,所有人群,市三甲医院约2000-5000元,健客大药房康德乐大药房阿康大药房
脾水,否,无传染性,药物治疗,100%,Null,所有人,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
圆翳内障,否,无传染性,外用药治疗、手术治疗,85%,3-6月,中老年人,市三甲医院约（5000——30000元）,健客大药房康德乐大药房阿康大药房
肺痿,否,无传染性,Null,Null,Null,所有人,Null,健客大药房康德乐大药房阿康大药房
颞骨和下颔骨关节异常,否,无传染性,封闭治疗、药物治疗、中医治...,70%,8-12周,所有人群,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
营养缺乏性神经病变,否,无传染性,药物治疗,30%,Null,所有人群,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
疰夏,否,无传染性,中医药物治疗、西医药物治疗,85%,2周,多发于体质较弱的老人和小孩,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
髋关节后脱位,是,无传染性,手法闭合复位、手术治疗、药...,外科手术复位成功率约为85%,1-3个月,所有人群,市三甲医院约（5000——20000元）,健客大药房康德乐大药房阿康大药房
肩胛上神经卡压症,否,无传染性,手术治疗、中医药物治疗、西...,60%,1-3个月,所有人群,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
妊娠热病,否,无传染性,中医药物治疗、西医药物治疗,90%,7天,孕妇,市三甲医院约（600——2000元）,健客大药房康德乐大药房阿康大药房
膀胱气痛,否,无传染性,中医药物治疗,75%,2-4周,女性人群,市三甲医院约2000-5000元,健客大药房康德乐大药房阿康大药房
Morton跖头痛,否,无传染性,中医药物治疗、西医药物治疗...,30%(手术治疗),3-6个月,女性,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
经行舌麻,否,无传染性,中医药物治疗,85%,30天,中老年人,市三甲医院约（200——400元）,健客大药房康德乐大药房阿康大药房
阴痹,否,无传染性,中医药物治疗、西医药物治疗,40%,3个月,老年人,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
肘内翻,否,无传染性,手术治疗,75%(外科手术治疗),1-2个月,所有人群,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
肩关节不稳定,否,无传染性,手术治疗、微创治疗、功能锻...,60%,3个月,儿童或青少年,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
特发性股骨头坏死,否,无传染性,手术治疗、药物治疗、物理治...,20%,1-3个月,20-50岁人群,市三甲医院约（5000——50000元）,健客大药房康德乐大药房阿康大药房
鼻疔,否,无传染性,药物治疗,95%,2-4周,所有人群均可发病,市三甲医院约（1000——2000元）,健客大药房康德乐大药房阿康大药房
白秃疮,否,有传染性,中医药治疗、西医药治疗,50%,3个月,儿童,市三甲医院约（200——1000元）,健客大药房康德乐大药房阿康大药房
肠道感染后反应性关节炎,否,无传染性,中医药物治疗、西医药物治疗,65%,1-2年,以30岁左右居多,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
长骨骨干结核,否,有传染性,药物治疗,80%,Null,10岁以下的儿童最多见,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
色素性紫癜性苔藓样皮病,否,无传染性,药物治疗,40-60%,1-2年,所有人群,市三甲医院约（500-1000元）,健客大药房康德乐大药房阿康大药房
痰浊眩晕,否,无传染性,药物治疗、针灸疗法,60-70%,6-12个月,高血糖、高血压、高血脂患者,市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
风痹,否,无传染性,药物治疗,90%,Null,一般是四十岁以上,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
尺管综合征,否,无传染性,手术治疗,60%,10-30天,使用重锤或气钻的工人易发生,市三甲医院约（3000——6000元）,健客大药房康德乐大药房阿康大药房
耳疮,否,无传染性,药物治疗,95%,Null,所有人,市三甲医院约（100——500元）,健客大药房康德乐大药房阿康大药房
胆咳,否,无传染性,药物治疗,60%,10--14天,所有人群,市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
小儿泄泻,否,无传染性,药物治疗,95%,3-10天,6个月—2岁小儿,市三甲医院约（500——2000元）,健客大药房康德乐大药房阿康大药房
牙宣,否,无传染性,中医药物治疗、西医药物治疗,95%,7-10天,多见于中年和老年人，亦有20...,市三甲医院约（1000——5000元）,健客大药房康德乐大药房阿康大药房
慢脾风,否,无传染性,药物治疗,60%,1-2个月,儿童,市三甲医院约（30——1000元）,健客大药房康德乐大药房阿康大药房
股外侧皮神经卡压综合征,否,无传染性,药物治疗、中医疗法、神经阻...,40%,2个月,中老年女性,市三甲医院约（500——3000元）,健客大药房康德乐大药房阿康大药房
乙型肝炎病毒性关节炎,否,无传染性,病因治疗、对症治疗,20--40%,2--6个月,乙型肝炎患者,市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
风轮湿热,否,无传染性,中医药物治疗,40-50%,1-3年,用眼过多,市三甲医院约(5000--10000元),健客大药房康德乐大药房阿康大药房
产后喘促,否,无传染性,中医药物治疗、西医药物治疗,70%,3-7天,产妇,市三甲医院约（400——800元）,健客大药房康德乐大药房阿康大药房
黧黑斑,否,无传染性,针灸治疗、中医治疗,30-50%,1-2年,女性,市三甲医院约(5000--10000元),健客大药房康德乐大药房阿康大药房
颤证,否,无传染性,支持疗法,85%,2-6月,中、老年，素体肝肾阴亏的人,市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
溃疡性结肠炎性关节炎,否,无传染性,药物治疗、手术治疗,30%,3个月,年轻人多见,市三甲医院约10000--30000元,健客大药房康德乐大药房阿康大药房
耳疖,否,无传染性,局部用药、口服用药,90%,7--10天,青壮年,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
姜片虫病,是,有传染性,药物治疗,70%,3-7天,所有人群,不同医院收费标准不一致，市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
产后血虚热,否,无传染性,中医药物治疗、西医药物治疗,100%,1个月,产后妇女,医院不同，收费标准不同，市级三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
雪盲,是,无传染性,止痛、局部用药,30%,7-10天,高山运动员、高原工作者,不同医院收费标准不一致，市三甲医院约（500——2000元）,健客大药房康德乐大药房阿康大药房
阴茎痰核,否,无传染性,药物治疗,80%,3-5月,所有人群,市三甲医院约5000---10000元,健客大药房康德乐大药房阿康大药房
多发性肌炎-皮肌炎,否,无传染性,药物治疗,60%,7-14天,儿童和成人多见，女性多于男...,市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
心血瘀阻,否,无传染性,Null,Null,Null,所有人群,Null,健客大药房康德乐大药房阿康大药房
桡骨茎突部狭窄性腱鞘炎,否,无传染性,封闭治疗、药物治疗、微创疗...,65%-80%,1-3个月,中老人妇女、手工工作者,市三甲医院约（100——500元）,健客大药房康德乐大药房阿康大药房
血疸,否,无传染性,溶血性贫血、溶血性黄疸,95%,1-2岁,新生儿,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
湿痹,否,无传染性,药物治疗,70%,1个月,体虚年老者,不同医院收费标准不一致，市三甲医院约（2000——5000元）,健客大药房康德乐大药房阿康大药房
外伤后头痛,否,无传染性,手术治疗、药物治疗,95%,3-6周,脑部受过外伤的患者常见,不同医院收费标准不一致，市三甲医院约（10000——50000元）,健客大药房康德乐大药房阿康大药房
中心性渗出性脉络膜视网膜炎,否,无传染性,药物治疗,85%,2-4周,所有人群,不同医院收费标准不一致，市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
脑萎,否,无传染性,中医药物治疗、西医药物治疗,40%,2-6月,多起病于50岁以后、女性多于...,市三甲医院约（800——2000元）,健客大药房康德乐大药房阿康大药房
复发性多软骨炎,是,无传染性,中药、西药治疗,30%,30天,多数发病年龄为40～60岁,市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
症瘕,否,无传染性,手术治疗、药物治疗,50%,3-6个月,各年龄均可发病,市三甲医院约（3000——10000元）,健客大药房康德乐大药房阿康大药房
寒湿泄泻,否,无传染性,药物治疗,85%,4-8周,所有人群,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
小肠虚寒,否,无传染性,药物治疗,95%,10天,所有人群,市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
溢饮,否,无传染性,药物治疗,100%,Null,妇女,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
气疝,否,无传染性,药物治疗、手术治疗,92%,7天,儿童,市三甲医院约（2000——5000元）,健客大药房康德乐大药房阿康大药房
喉气囊肿,是,无传染性,药物治疗,70%,2-4周,所有人群,不同医院收费标准不一致，市三甲医院约（2000——5000元）,健客大药房康德乐大药房阿康大药房
下消,否,无传染性,Null,Null,Null,儿童多见,Null,健客大药房康德乐大药房阿康大药房
脾约,否,无传染性,药物治疗,99%,15-30天,所有人群,据不同医院，收费标准不一致，市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
面游风,否,无传染性,中医药物治疗,80%,7-21天,多见于青壮年，或在乳儿期发...,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
耳痈,否,无传染性,中医药物治疗、西医药物治疗,94%,7天,所有人群,市三甲医院约（300——1000元）,健客大药房康德乐大药房阿康大药房
产后痉症,否,无传染性,中药、西药,85%,3-6周,产妇,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
白膜侵睛,否,无传染性,药物治疗,70%,1个月,所有人群,市三甲医院约(5000--10000元),健客大药房康德乐大药房阿康大药房
阳虚发热,否,无传染性,药物治疗,90%,7天,老年患者,市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
阴缩,否,无传染性,中医药物治疗、针灸治疗、手...,20-40%,1-3年,所有人群,市三甲医院约(10000--20000元),健客大药房康德乐大药房阿康大药房
痹证,否,无传染性,药物治疗,98%,Null,所有人群,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
心咳,否,无传染性,Null,Null,Null,成年人,Null,健客大药房康德乐大药房阿康大药房
抗磷脂抗体综合征,否,无传染性,药物治疗,50%,2-4个月,以女性更为常见（男女之比约...,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
伤食泄泻,否,无传染性,药物治疗,93%,5天,所有人群,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
髌骨骨软骨病,否,无传染性,Null,Null,Null,10～14岁男性青少年,Null,健客大药房康德乐大药房阿康大药房
巴特综合征,否,无传染性,药物治疗,55%,1-2年,5岁以下小儿,不同医院收费标准不一致，市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
股神经卡压综合征,否,无传染性,手术治疗、物理治疗,外科手术治愈率约为70-80%,4-8周,所有人群,市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
小肠实热,否,无传染性,中医药物治疗、西医药物治疗,70%,7--14天,青壮年,市三甲医院约（200——500元）,健客大药房康德乐大药房阿康大药房
气虚眩晕,否,无传染性,药物治疗,100%,Null,所有人,市三甲医院约（300——500元）,健客大药房康德乐大药房阿康大药房
肝咳,否,无传染性,药物治疗,75%,2-4月,所有人群,市三甲医院约1000-3000元,健客大药房康德乐大药房阿康大药房
急淋,否,无传染性,中医药物治疗、西医药物治疗,90%,7-30天,儿童期（0～9岁）为发病高峰,不同医院收费标准不一致，市三甲医院约（10000-50000元）,健客大药房康德乐大药房阿康大药房
产后伤食,否,无传染性,中医药物治疗、西医药物治疗,90%,2-3周,产后女性过度饮食,市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
慢惊风,否,无传染性,药物治疗,80%,1-3天,呕吐、腹泻、急惊风、解颅、...,市三甲医院约（5000——8000元）,健客大药房康德乐大药房阿康大药房
精瘀证,否,无传染性,中医药物治疗、西医药物治疗,70%,3-6个月,青壮年男性,市三甲医院约（500——5000元）,健客大药房康德乐大药房阿康大药房
热毒冲心,否,无传染性,Null,Null,Null,所有人群,Null,健客大药房康德乐大药房阿康大药房
髌骨不稳定,否,无传染性,手术治疗、功能锻炼、康复治...,70%,2-4周,年轻女性,市三甲医院约（1000——10000元）,健客大药房康德乐大药房阿康大药房
目劄病,否,无传染性,中医药物治疗,90%,3-5月,小儿多见,市三甲医院约(5000--10000元),健客大药房康德乐大药房阿康大药房
胃纳呆滞,否,无传染性,中医药物治疗、西医药物治疗,治愈率89%,治疗周期30天,老年人,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
弹响肩胛,否,无传染性,微创治疗、手术治疗、药物治...,70%,1个月,重体力劳动者、长时间受凉受...,市三甲医院约（500——2000元）,健客大药房康德乐大药房阿康大药房
妇女咳嗽性遗尿,否,无传染性,运动疗法、心理疗法,80%,10天,妇女,市三甲医院约（100——300元）,健客大药房康德乐大药房阿康大药房
耳疔,否,无传染性,药物治疗,80%,7--10天,所有人群均可发病、儿童多见,市三甲医院约（1000——2000元）,健客大药房康德乐大药房阿康大药房
水疝,否,无传染性,手术治疗、药物治疗,80%(外科手术治疗),1-2个月,男性,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
吸烟中毒症,否,无传染性,一般治疗、脱敏治疗,治愈率10%,治疗周期20-50天,长期吸烟患者,市三甲医院约（1000——5000元）,健客大药房康德乐大药房阿康大药房
厥阴头痛,否,无传染性,中医药物治疗、西医药物治疗,98%,15天,老年人,市三甲医院约（1000——5000元）,健客大药房康德乐大药房阿康大药房
痰积,否,无传染性,药物治疗,80-90%,2-4周,所有人群,市三甲医院约1000-3000元,健客大药房康德乐大药房阿康大药房
筋痿,否,无传染性,中医药物治疗、西医药物治疗,80%,1-2个月,男性,市三甲医院约（2000——8000元）,健客大药房康德乐大药房阿康大药房
脾劳,否,无传染性,药物治疗,70%,1-3个月,所有人群,市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
阴部神经干痛,否,无传染性,物理治疗、手术治疗,65%,4-8周,女性,市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
癃闭,否,无传染性,药物治疗,60%,1个月,多见于中老年人,市三甲医院约（1000——2000元）,健客大药房康德乐大药房阿康大药房
百合病,否,无传染性,Null,Null,Null,所有人,Null,健客大药房康德乐大药房阿康大药房
胎盘部分残留,否,无传染性,手术治疗、药物治疗,85%,3-6周,有胎盘粘连的产妇多见,市三甲医院约（1000——5000元）,健客大药房康德乐大药房阿康大药房
跖管综合征,否,无传染性,手术治疗、药物治疗,55%-75%(外科手术治疗),1-3个月,多发于青壮年、从事强体力劳...,市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
漆疮,否,无传染性,药物治疗,30%,2--4周,所有人群,市三甲医院约（100——500元）,健客大药房康德乐大药房阿康大药房
棘上韧带损伤,是,无传染性,中医治疗、药物治疗、物理治...,70%,3-5月,青壮年,市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
寒冷性脂膜炎,否,无传染性,对症治疗,对症治疗为主，无法彻底根治,>120天(终身间歇性治疗),婴儿,市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
羊胡疮,否,无传染性,中医药物治疗,95%,1-2周,主要发生在男性胡须部位20～4...,市三甲医院约（300——800元）,健客大药房康德乐大药房阿康大药房
肺胀,否,无传染性,中医药物治疗、西医药物治疗,60%,10-15天,老年人,市三甲医院约（5000——20000元）,健客大药房康德乐大药房阿康大药房
行经泄泻,否,无传染性,中药治疗、西药治疗,80%,10-30天,中青年女性,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
跟骨骨骺骨软骨病,否,无传染性,中医药物治疗、西医药物治疗,70%,1-2个月,爱好运动的8～14岁女性,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
毒热侵肤,否,无传染性,药物治疗,60%,1-2个月,中老年，40岁以上较多,市三甲医院约（1000——5000元）,健客大药房康德乐大药房阿康大药房
回奶,否,无传染性,药物内服、手术,99%,3-6周,哺乳期妇女,市三甲医院约（200——1000元）,健客大药房康德乐大药房阿康大药房
项痹,否,无传染性,中医药物治疗,30%,10天,成年人长期伏案工作之人,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
硬肿症,否,无传染性,中医药物治疗、西医药物治疗,60%,2周,新生儿,市三甲医院约（1000——4000元）,健客大药房康德乐大药房阿康大药房
踝关节结核,是,有传染性,手术治疗,治愈率86%,治疗周期270天,常见于青壮年，男性略多于女...,市三甲医院约（3000——10000元）,健客大药房康德乐大药房阿康大药房
小儿流涎症,否,无传染性,推拿按摩、中医治疗,90%,10-30天,儿童,市三甲医院约（100——600元）,健客大药房康德乐大药房阿康大药房
疳,否,无传染性,Null,Null,Null,小儿、新生儿,Null,健客大药房康德乐大药房阿康大药房
浸淫疮,否,无传染性,中医药物治疗、西医药物治疗,85%,2-4月,成年人,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
网状青斑和青斑性血管炎,否,无传染性,药物治疗,55%-65%,1-3个月,正常儿童及成年女性,市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
郁证,否,无传染性,药物治疗,98%,Null,青中年女性,市三甲医院约（300——800元）,健客大药房康德乐大药房阿康大药房
胎漏,否,无传染性,中药治疗、西药治疗,60%,7-21天,孕妇,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
夹色伤寒,否,无传染性,中医药物治疗,40-60%,3-6个月,所有人群,市三甲医院约(1000--3000元),健客大药房康德乐大药房阿康大药房
干血痨,否,无传染性,中医药物治疗、西医药物治疗,50%,3个月,育龄期妇女,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
气秘,否,无传染性,药物治疗,90%,3-6周,所有人群,市三甲医院约100-300,健客大药房康德乐大药房阿康大药房
喉痹,否,无传染性,西医药物治疗、中医药物治疗,40-50%(以控制症状为主),6-12个月,青少年、中年多见,市三甲医院约（200——2000元）,健客大药房康德乐大药房阿康大药房
外耳道疖肿,是,无传染性,药物治疗,95%,Null,经常挖耳者多见,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
肝热病,否,无传染性,药物治疗,100%,Null,所有人群,市三甲医院约（300——500元）,健客大药房康德乐大药房阿康大药房
干呕,否,无传染性,饮食、药物、中医治疗,90%,20-30天,无特殊发病群体,市三甲医院约（1000——5000元）,健客大药房康德乐大药房阿康大药房
肘管综合征,是,无传染性,中医理疗、药物、手术治疗,80%,1-2个月,肘部创伤性关节炎者多见,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
心血虚,否,无传染性,药物治疗,85%,10天,多见于久病体虚，脾运不健或...,市三甲医院约（2000——5000元）,健客大药房康德乐大药房阿康大药房
肺咳,否,无传染性,药物治疗,55%,1-3个月,所有人群,市三甲医院约（300——500元）,健客大药房康德乐大药房阿康大药房
秋燥,否,无传染性,药物治疗,100%,Null,无特殊发病群体,市三甲医院约（300——500元）,健客大药房康德乐大药房阿康大药房
